"Name :";"08_EA_P00_CLAPB01_HUMRET";"08_EA_P00_CLAPB01_TRET";"08_EA_P00_CLAPB02_HUMRET";"08_EA_P00_CLAPB02_TRET";"08_EA_P00_CLB04_HUMRET";"08_EA_P00_CLB04_TRET";"08_EA_P00_CLSACTES_TRET";"08_EA_P00_FC0001_TAMB";"08_EA_P00_FC0002_QAIRE";"08_EA_P00_FC0002_TAMB";"08_EA_P00_FC0003_TAMB";"08_EA_P00_FC0004_QAIRE";"08_EA_P00_FC0004_TAMB";"08_EA_P00_FC0005_TAMB";"08_EA_P00_FC0009_QAIRE";"08_EA_P00_FC0009_TAMB";"08_EA_P00_FC0011_QAIRE";"08_EA_P00_FC0011_TAMB";"08_EA_P00_FC0013_QAIRE";"08_EA_P00_FC0013_TAMB";"08_EA_P00_FC0015_TAMB";"08_EA_P00_FC0017_TAMB";"08_EA_P00_FC0019_TAMB";"08_EA_P00_FC0021_TAMB";"08_EA_P00_FC0022_TAMB";"08_EA_P01_CLAP07_HUMRET";"08_EA_P01_CLAP07_TRET";"08_EA_P01_CLAP08_TRET";"08_EA_P01_CLAP09_HUMRET";"08_EA_P01_CLAP09_TRET";"08_EA_P01_CLAP10_HUMRET";"08_EA_P01_CLAP10_TRET";"08_EA_P01_FC0101_QAIREx";"08_EA_P01_FC0101_TAMBx";"08_EA_P01_FC0102_QAIRE";"08_EA_P01_FC0102_TAMB";"08_EA_P01_FC0103_QAIREx";"08_EA_P01_FC0103_TAMB";"08_EA_P01_FC0104_QAIRE";"08_EA_P01_FC0104_TAMB";"08_EA_P01_FC0105_QAIREx";"08_EA_P01_FC0105_TAMB";"08_EA_P01_FC0106_QAIRE";"08_EA_P01_FC0106_TAMB";"08_EA_P01_FC0107_QAIREx";"08_EA_P01_FC0107_TAMB";"08_EA_P01_FC0108_QAIRE";"08_EA_P01_FC0108_TAMB";"08_EA_P01_FC0109_QAIREx";"08_EA_P01_FC0109_TAMB";"08_EA_P01_FC0110_QAIRE";"08_EA_P01_FC0110_TAMB";"08_EA_P01_FC0111_QAIREx";"08_EA_P01_FC0111_TAMB";"08_EA_P01_FC0112_QAIRE";"08_EA_P01_FC0112_TAMB";"08_EA_P01_FC0113_QAIREx";"08_EA_P01_FC0113_TAMB";"08_EA_P01_FC0114_QAIRE";"08_EA_P01_FC0114_TAMB"
"ObjectType :";"analog-input";"analog-input";"analog-input";"analog-input";"analog-input";"analog-input";"analog-value";"analog-input";"analog-value";"analog-value";"analog-input";"analog-value";"analog-value";"analog-input";"analog-value";"analog-value";"analog-value";"analog-value";"analog-value";"analog-value";"analog-input";"analog-input";"analog-input";"analog-value";"analog-input";"analog-value";"analog-value";"analog-value";"analog-value";"analog-value";"analog-value";"analog-value";"analog-input";"analog-input";"analog-value";"analog-value";"analog-input";"analog-value";"analog-value";"analog-value";"analog-input";"analog-value";"analog-value";"analog-value";"analog-input";"analog-value";"analog-value";"analog-value";"analog-input";"analog-value";"analog-value";"analog-value";"analog-input";"analog-value";"analog-value";"analog-value";"analog-input";"analog-value";"analog-value";"analog-value"
"Unit :";"%";"°C";"%";"°C";"%";"°C";"°C";"°C";"ppm";"°C";"°C";"ppm";"°C";"°C";"ppm";"°C";"ppm";"°C";"ppm";"°C";"°C";"°C";"°C";"°C";"°C";"°C";"°C";"°C";"°C";"°C";"°C";"°C";"ppm";"°C";"ppm";"°C";"ppm";"°C";"ppm";"°C";"ppm";"°C";"ppm";"°C";"ppm";"°C";"ppm";"°C";"ppm";"°C";"ppm";"°C";"ppm";"°C";"ppm";"°C";"ppm";"°C";"ppm";"°C"
"Timestamp :";
01-01-2024 00:00:00;"48,0";"17,48";"45,0";"20,67";"52,2";"18,97";"19,40";"17,89";"516,0";"20,34";"16,59";"498,8";"18,53";"15,25";"8,0";"15,89";"498,2";"18,33";"526,0";"16,92";"16,92";"20,50";"16,16";"17,40";"18,00";"51,68";"17,30";"14,82";"47,23";"20,93";"45,69";"19,74";"520,0";"15,11";"488,9";"21,72";"";"16,69";"481,1";"20,35";"";"17,20";"492,4";"19,21";"";"17,66";"506,2";"18,26";"";"18,14";"513,3";"18,71";"";"17,45";"510,7";"16,06";"";"18,10";"520,4";"14,66"
01-01-2024 01:00:00;"48,7";"17,30";"45,0";"20,68";"53,3";"18,66";"19,40";"17,86";"518,0";"20,10";"16,55";"506,8";"18,41";"15,15";"8,0";"15,77";"498,2";"18,29";"526,0";"16,86";"16,86";"20,39";"16,11";"17,40";"18,00";"51,68";"16,94";"14,10";"47,23";"20,93";"44,98";"19,14";"527,6";"15,02";"488,9";"21,68";"";"16,61";"487,1";"20,16";"";"17,18";"492,4";"18,85";"";"17,60";"508,2";"18,20";"";"18,10";"513,3";"18,47";"";"17,43";"510,7";"15,88";"";"17,96";"522,3";"14,54"
01-01-2024 02:00:00;"49,3";"17,17";"44,9";"20,68";"54,8";"18,30";"19,40";"17,82";"518,0";"20,00";"16,50";"506,8";"18,23";"15,07";"8,0";"15,61";"500,2";"18,17";"526,0";"16,86";"16,78";"20,28";"16,05";"17,29";"17,93";"51,68";"16,70";"13,42";"47,23";"20,45";"44,50";"18,74";"528,4";"14,96";"488,9";"21,68";"";"16,57";"491,1";"20,04";"";"17,14";"492,4";"18,60";"";"17,56";"512,2";"18,16";"";"18,04";"513,3";"18,31";"";"17,43";"518,7";"15,76";"";"17,84";"522,3";"14,46"
01-01-2024 03:00:00;"49,9";"17,17";"44,4";"20,74";"55,3";"18,00";"19,40";"17,78";"520,0";"19,90";"16,45";"506,8";"18,23";"15,00";"8,0";"15,49";"508,2";"18,01";"528,0";"16,86";"16,71";"20,18";"15,97";"17,15";"17,86";"51,68";"16,52";"13,42";"47,23";"20,33";"44,50";"18,74";"535,6";"14,89";"488,9";"21,56";"";"16,49";"491,1";"20,04";"";"17,08";"492,4";"18,48";"";"17,50";"512,2";"18,08";"";"18,04";"513,3";"18,31";"";"17,35";"520,7";"15,76";"";"17,74";"522,3";"14,46"
01-01-2024 04:00:00;"47,4";"18,33";"44,5";"20,81";"55,4";"17,81";"19,40";"17,73";"522,0";"19,06";"16,38";"508,8";"17,99";"14,92";"8,0";"15,49";"508,2";"17,89";"536,0";"16,74";"16,64";"20,05";"15,90";"17,09";"17,72";"48,68";"18,75";"13,42";"44,23";"19,67";"44,50";"19,04";"533,2";"14,80";"492,9";"21,48";"";"16,41";"491,1";"19,96";"";"17,20";"492,4";"18,40";"";"17,42";"512,2";"18,06";"";"18,00";"521,3";"18,31";"";"17,17";"520,7";"15,76";"";"17,63";"522,3";"14,46"
01-01-2024 05:00:00;"44,7";"19,85";"44,6";"20,80";"55,5";"17,63";"19,40";"17,68";"524,0";"18,68";"16,30";"510,8";"17,93";"14,84";"8,0";"15,49";"508,2";"17,89";"536,0";"16,56";"16,51";"19,89";"15,83";"16,81";"17,66";"46,68";"20,43";"13,42";"42,23";"18,53";"44,50";"19,53";"530,4";"14,74";"498,9";"21,78";"";"16,29";"493,1";"19,84";"";"17,28";"500,4";"18,40";"";"17,36";"512,2";"18,06";"";"17,96";"533,3";"18,07";"";"16,95";"520,7";"15,76";"";"17,47";"522,3";"14,46"
01-01-2024 06:00:00;"44,3";"20,15";"44,6";"20,68";"55,1";"17,19";"19,40";"17,63";"524,0";"19,02";"16,21";"508,8";"17,93";"14,76";"8,0";"15,49";"508,2";"17,89";"536,0";"16,56";"16,38";"19,75";"15,76";"16,70";"17,66";"46,68";"20,43";"13,42";"42,23";"18,53";"44,50";"19,65";"533,2";"14,59";"498,9";"21,99";"";"16,29";"501,1";"19,96";"";"17,28";"500,4";"18,40";"";"17,34";"516,2";"17,92";"";"17,84";"533,3";"18,01";"";"16,89";"520,7";"15,76";"";"17,35";"522,3";"14,30"
